job_id,submit_t,job_type,gpus_request,duration_s_intended,pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,total_pending,pending_gpus,running_gpus,gpu_nodes_alloc,gpu_nodes_total,util_gpu_mean,util_gpu_std,util_gpu_max,util_mem_mean,temp_c_mean,temp_c_max,power_w_mean,power_w_max,mem_used_mb_mean,util_mem_std,util_mem_max,mem_used_mb_max,power_efficiency,mem_pressure,start_t,wait_seconds,wait_threshold_p90,label_long_wait,submit_epoch_ms
0,10.0,burst,2,48.0,0.5,0.0,0.0,0.2,0,0,0,0,10,8.643883783743732,0.0,84.29057454965503,20.249859508640707,43.23438806968097,48.73124098795509,115.66245073214901,158.01202021873058,4695.440296280774,4.776546168390871,37.39632843617207,5556.539862341055,0.07473370769015805,0.20249859508640708,10.0,0.0,150474.45,0,10000
1,13.5,burst,2,48.0,0.5,0.0,0.0,0.2,0,0,2,2,10,35.53976536975676,7.843188552047538,51.151073401516044,43.05879506302987,37.64568286468767,42.45667289643628,94.15537981018619,52.27460210067194,5660.946589564302,10.926880567570567,63.61971530906278,7168.3666490012665,0.37745867991190335,0.4305879506302987,13.5,0.0,150474.45,0,13500
2,23.0,burst,2,48.0,0.3333333333333333,0.0,0.0,0.2,0,0,4,4,10,3.9040403492589832,21.479024483477218,29.39959498149436,0.0,31.13365338053601,55.20776725856848,93.44678125367743,140.43408688271248,4156.600054461277,3.749299911856553,26.742116656064333,4938.5317452118525,0.0417782217523447,0.0,23.0,0.0,150474.45,0,23000
3,57.5,short,2,65.0,0.25,0.0,0.0,0.2,0,0,6,6,10,28.196287146571297,12.827739372345889,75.64601761611257,11.423043365010242,38.802824483990875,60.12465346452517,69.57121940305728,136.76072420056343,4776.351117679759,2.2229139366346784,39.15416951647276,5244.861557837916,0.40528666003707015,0.11423043365010242,57.5,0.0,150474.45,0,57500
4,73.0,short,2,65.0,0.5,0.0,0.0,0.2,0,0,2,2,10,4.846745976937355,6.74081979061857,57.492336379829275,22.71270595224631,47.21074286242655,57.48878863753166,85.6215145552488,160.9918226448655,10240.158856778264,1.5778998335766588,42.666733259052165,12347.870773566856,0.05660663680283192,0.2271270595224631,73.0,0.0,150474.45,0,73000
5,76.0,memheavy,7,97.0,0.3333333333333333,0.0,0.1428571428571429,0.7,0,0,4,4,10,18.984896536987616,3.9159779240832773,81.76276824705783,0.0,39.14544721684902,73.92863687209312,85.65608972685253,137.52174822893423,2620.9848052977018,6.907252559278085,18.862409264254353,5607.653952537341,0.22164094342303367,0.0,129.5,53.5,150474.45,0,76000
6,110.0,burst,2,48.0,0.5,0.7,0.0,0.9,1,7,4,4,10,52.90028457175821,5.868006669806785,14.411765150622083,3.907672287518642,44.60141784215816,50.50193096519038,86.05942734804465,42.486920035060216,3699.0924086669747,10.153065010753966,21.790389428348963,4379.858586683168,0.6146948242848163,0.03907672287518642,139.5,29.5,150474.45,0,110000
7,111.0,burst,2,48.0,0.6,0.9,0.0,1.1,2,9,4,4,10,16.62270739862678,5.5490026735334865,91.9515450712332,11.751073047150289,41.01982591331341,69.40773691326302,89.67150576777874,107.66028293840058,58.967516401143286,7.141625897229285,31.05834958081351,1059.8943575612318,0.18537334972019331,0.11751073047150289,188.0,77.0,150474.45,0,111000
8,112.0,short,1,64.0,0.6666666666666666,1.1,0.0,1.2,3,11,4,4,10,10.813038068318473,9.67353004919225,21.75150813890785,1.8699425696122762,36.73132013421195,54.27051701168004,65.74580849988476,156.72597587695208,0.0,8.28238097789606,16.40821276621035,1798.5263593848356,0.16446733738679975,0.018699425696122762,188.0,76.0,150474.45,0,112000
9,121.5,burst,2,49.0,0.7142857142857143,1.2,0.0,1.4,4,12,4,4,10,26.85582460172079,14.451805691088271,24.480042731172,28.525396398263556,46.334131186030184,53.17149704538792,99.03176402961925,126.2919844197743,2863.5684485532342,1.376637132499697,55.64495193182374,5715.263938655551,0.2711839465334428,0.2852539639826356,243.0,121.5,150474.45,0,121500
10,129.5,burst,10,49.0,0.7142857142857143,0.7,0.9,1.7,4,7,9,9,10,14.93885830599247,6.498965379596941,29.33723188055948,17.58636762372945,47.43669509548273,58.8043942450623,69.98595587098448,171.8903870609262,5343.028664257757,13.88605243407794,26.501675452397887,9194.66423302649,0.21345508709678107,0.17586367623729451,299.5,170.0,150474.45,0,129500
11,139.5,medium,2,163.0,0.7142857142857143,1.5,0.5,1.7,4,15,9,9,10,4.436686671950578,15.14651953852826,80.76524222165875,31.07679440093107,45.21103925146045,45.396789453880274,79.5917060499672,41.53677081290185,2635.984633800045,9.400423581097133,35.49735613083857,5982.54609301733,0.055743077917757566,0.31076794400931074,359.5,220.0,150474.45,0,139500
12,142.0,short,6,64.0,0.75,1.7,0.8333333333333334,2.3,5,17,9,9,10,33.91916217774223,8.811847954593016,73.28379279163961,15.135758184383151,41.54763039958933,58.960800986329346,95.74088766400763,135.20197150137668,5781.535926953401,10.752043104738062,41.240958310395925,6316.486389263037,0.3542808407707467,0.15135758184383152,359.5,217.5,150474.45,0,142000
13,151.5,long,2,358.0,0.7777777777777778,2.3,0.5,2.5,6,23,9,9,10,52.9209397839807,13.28507912471953,52.94688053374595,32.2271043230166,46.06514520096219,42.59901931672895,86.65120632196849,75.93940770558147,3848.874092315466,7.126274273985022,65.99003695334544,4042.070286885394,0.6107351764653249,0.322271043230166,359.5,208.0,150474.45,0,151500
14,161.5,short,2,65.0,0.8,2.5,0.5,2.7,7,25,9,9,10,40.31788282329722,4.038017074919674,56.769399333812494,13.061565922714289,49.86161243545624,53.89766567210718,85.45155206442972,131.68663012185473,1726.3771643605835,9.070393510706282,24.21848458981863,3372.9021172317866,0.471821539214383,0.13061565922714288,465.5,304.0,150474.45,0,161500
15,178.5,memheavy,2,97.0,0.8181818181818182,2.7,0.5,2.9,8,27,9,9,10,25.682194181381952,21.58567249965939,4.149959774600333,40.58507799806908,47.1599481987267,57.34026424383193,140.18030465549074,75.01783531761808,5531.457046363625,11.988862010800288,65.44265830288388,6728.631816850473,0.18320829195298802,0.4058507799806908,465.5,287.0,150474.45,0,178500
16,180.5,burst,10,48.0,0.8333333333333334,2.9,0.9,3.9,9,29,9,9,10,13.083640909311907,16.325558964566987,67.80356118390281,57.746553730572025,47.08168050513226,43.132690332100864,105.06408119752102,86.89187105313673,4309.573083288361,7.564540293242816,69.02350516975667,5405.246116976436,0.12453010353476174,0.5774655373057203,723.5,543.0,150474.45,0,180500
